,Column1,id,date,tweet,language,hashtags,cashtags,retweet,nlikes,nreplies,nretweets,"search",tokens,trend
10,11,1.39e+18,2021-05-11,$qqq you should lighten on $qqq etf but not completely sell out of it. interest rates may go up to 2% but this is not enough to bring down growth stocks e.g. the tech stocks $goog $amzn $aapl $fb $nflx since they are goods/services that make us more productive &amp; more efficient.,en,[],"['qqq', 'qqq', 'goog', 'amzn', 'aapl', 'fb', 'nflx']",False,0.0,0.0,0.0,"$NFLX","['$qqq', 'lighten', '$qqq', 'etf', 'completely', 'sell', 'it.', 'interest', 'rate', 'may', 'go', '2%', 'enough', 'bring', 'growth', 'stock', 'e.g.', 'tech', 'stock', '$goog', '$amzn', '$aapl', '$fb', '$nflx', 'since', 'goods/services', 'make', 'u', 'productive', '&amp;', 'efficient.']",negative
15,17,1.39e+18,2021-05-11,"this is massive, how’d i miss this last week?  $ggii $nflx  https://t.co/wqy4bh6jl3",en,[],"['ggii', 'nflx']",False,0.0,0.0,0.0,"$NFLX","['massive,', 'how’d', 'miss', 'last', 'week?', '$ggii', '$nflx', 'https://t.co/wqy4bh6jl3']",negative
23,25,1.39e+18,2021-05-11,1000% almost half a mile here. you in our discord? we've been on fire!!   $aapl $amzn $fb $nflx $baba $bidu $baba $twtr $pins $tlry $hexo $acb $fdx $dkng $ddd $lrcx $nvda $amd $spy  https://t.co/mlnquyb5vw,en,[],"['aapl', 'amzn', 'fb', 'nflx', 'baba', 'bidu', 'baba', 'twtr', 'pins', 'tlry', 'hexo', 'acb', 'fdx', 'dkng', 'ddd', 'lrcx', 'nvda', 'amd', 'spy']",False,0.0,0.0,0.0,"$NFLX","['1000%', 'almost', 'half', 'mile', 'here.', 'discord?', ""we've"", 'fire!!', '$aapl', '$amzn', '$fb', '$nflx', '$baba', '$bidu', '$baba', '$twtr', '$pins', '$tlry', '$hexo', '$acb', '$fdx', '$dkng', '$ddd', '$lrcx', '$nvda', '$amd', '$spy', 'https://t.co/mlnquyb5vw']",uncertainty
24,26,1.39e+18,2021-05-11,$rut sideway chop for sometime before it resume the upside again.   #es_f #nq_f $ndx $spx $spy $aapl  $sq $gld $fb $bac $amzn $pton $amd $msft $nflx $tsla $fb $rut $googl $nio $pltr  https://t.co/poleseprpv,en,"['es_f', 'nq_f']","['rut', 'ndx', 'spx', 'spy', 'aapl', 'sq', 'gld', 'fb', 'bac', 'amzn', 'pton', 'amd', 'msft', 'nflx', 'tsla', 'fb', 'rut', 'googl', 'nio', 'pltr']",False,3.0,0.0,0.0,"$NFLX","['$rut', 'sideway', 'chop', 'sometime', 'resume', 'upside', 'again.', '#es_f', '#nq_f', '$ndx', '$spx', '$spy', '$aapl', '$sq', '$gld', '$fb', '$bac', '$amzn', '$pton', '$amd', '$msft', '$nflx', '$tsla', '$fb', '$rut', '$googl', '$nio', '$pltr', 'https://t.co/poleseprpv']",uncertainty
28,30,1.39e+18,2021-05-11,in crude $cl_f small cap $rty_f gold $gc_f dow jones industrial #ym_f to get things back on track or we fail here #tradingpsychology #economy cycle with rotation in sectors from loved ones #nasdaq100 $aapl $amzn $meli $mrna $nflx $googl $tsla.  https://t.co/qrmyzwnxzq,en,"['ym_f', 'tradingpsychology', 'economy', 'nasdaq100']","['cl_f', 'rty_f', 'gc_f', 'aapl', 'amzn', 'meli', 'mrna', 'nflx', 'googl', 'tsla']",False,0.0,0.0,0.0,"$NFLX","['crude', '$cl_f', 'small', 'cap', '$rty_f', 'gold', '$gc_f', 'dow', 'jones', 'industrial', '#ym_f', 'get', 'thing', 'back', 'track', 'fail', '#tradingpsychology', '#economy', 'cycle', 'rotation', 'sector', 'loved', 'one', '#nasdaq100', '$aapl', '$amzn', '$meli', '$mrna', '$nflx', '$googl', '$tsla.', 'https://t.co/qrmyzwnxzq']",negative
29,31,1.39e+18,2021-05-11,$fubo charts looking crazy scary for shorts.   $24 break out opens up the door to $26-28.   $roku $googl $nflx $appl  https://t.co/eu5tnw9dlv,en,[],"['fubo', 'roku', 'googl', 'nflx', 'appl']",False,7.0,1.0,0.0,"$NFLX","['$fubo', 'chart', 'looking', 'crazy', 'scary', 'shorts.', '$24', 'break', 'open', 'door', '$26-28.', '$roku', '$googl', '$nflx', '$appl', 'https://t.co/eu5tnw9dlv']",negative
35,37,1.39e+18,2021-05-11,1000% almost half a mile here. you in our discord? we've been on fire!!   $aapl $amzn $fb $nflx $baba $bidu $baba $twtr $pins $tlry $hexo $acb $fdx $dkng $ddd $lrcx $nvda $amd  https://t.co/ode27tzsmf,en,[],"['aapl', 'amzn', 'fb', 'nflx', 'baba', 'bidu', 'baba', 'twtr', 'pins', 'tlry', 'hexo', 'acb', 'fdx', 'dkng', 'ddd', 'lrcx', 'nvda', 'amd']",False,0.0,0.0,0.0,"$NFLX","['1000%', 'almost', 'half', 'mile', 'here.', 'discord?', ""we've"", 'fire!!', '$aapl', '$amzn', '$fb', '$nflx', '$baba', '$bidu', '$baba', '$twtr', '$pins', '$tlry', '$hexo', '$acb', '$fdx', '$dkng', '$ddd', '$lrcx', '$nvda', '$amd', 'https://t.co/ode27tzsmf']",uncertainty
36,38,1.39e+18,2021-05-11,"i'm obsessed w/ peloton and love beachbody, so liked this interview.  couldn't disagree more, but enjoyed @gerberkawasaki comping beachbody (spac'ing w/ $frx, founded 1998, 2020 rev ~$880m) to $nflx vs. $pton (founded 2012; 2020 rev ~$3b) as hbo   https://t.co/pnke247czn  https://t.co/t65u4qhnhi",en,[],"['frx', 'nflx', 'pton']",False,30.0,2.0,2.0,"$NFLX","[""i'm"", 'obsessed', 'w/', 'peloton', 'love', 'beachbody,', 'liked', 'interview.', 'disagree', 'more,', 'enjoyed', '@gerberkawasaki', 'comping', 'beachbody', ""(spac'ing"", 'w/', '$frx,', 'founded', '1998,', '2020', 'rev', '~$880m)', '$nflx', 'vs.', '$pton', '(founded', '2012;', '2020', 'rev', '~$3b)', 'hbo', 'https://t.co/pnke247czn', 'https://t.co/t65u4qhnhi']",positive
40,42,1.39e+18,2021-05-11,"@baba10x i'm shakin' the chicken bones and chanting now... it's going to be more complicated than that.  $aapl, $fb, $amzn, $nflx, and $googl will have upgrades tomorrow and we have a green day.",en,[],"['aapl', 'fb', 'amzn', 'nflx', 'googl']",False,3.0,1.0,1.0,"$NFLX","['@baba10x', ""i'm"", ""shakin'"", 'chicken', 'bone', 'chanting', 'now...', 'going', 'complicated', 'that.', '$aapl,', '$fb,', '$amzn,', '$nflx,', '$googl', 'upgrade', 'tomorrow', 'green', 'day.']",negative
49,51,1.39e+18,2021-05-11,"tuesday's top flow in #nasdaq #nasdaq100, buy flow &amp; sell flow $amzn $wday $mrna $vrsn $googl $txn $sbux $adi $jd $wba $aapl $dxcm $nflx $tsla $goog $cdw $fb $adp $lrcx $nvda #stock #stocks #stockmarket #investment #investing  https://t.co/5je2nlrw3b  https://t.co/ti4g1gdymc",en,"['nasdaq', 'nasdaq100', 'stock', 'stocks', 'stockmarket', 'investment', 'investing']","['amzn', 'wday', 'mrna', 'vrsn', 'googl', 'txn', 'sbux', 'adi', 'jd', 'wba', 'aapl', 'dxcm', 'nflx', 'tsla', 'goog', 'cdw', 'fb', 'adp', 'lrcx', 'nvda']",False,0.0,0.0,1.0,"$NFLX","[""tuesday's"", 'top', 'flow', '#nasdaq', '#nasdaq100,', 'buy', 'flow', '&amp;', 'sell', 'flow', '$amzn', '$wday', '$mrna', '$vrsn', '$googl', '$txn', '$sbux', '$adi', '$jd', '$wba', '$aapl', '$dxcm', '$nflx', '$tsla', '$goog', '$cdw', '$fb', '$adp', '$lrcx', '$nvda', '#stock', '#stocks', '#stockmarket', '#investment', '#investing', 'https://t.co/5je2nlrw3b', 'https://t.co/ti4g1gdymc']",positive
60,62,1.39e+18,2021-05-11,"wall street games. i didn't see any of them pulling back at all. none none... guys.... $fb $aapl  $amzn $nflx $msft $nvda $avgo nothing at all. shit....  nasdaq ends wild day flat after big tech reversal, dow drops 470 points for worst day since february  https://t.co/rl3pu0gjla",en,[],"['fb', 'aapl', 'amzn', 'nflx', 'msft', 'nvda', 'avgo']",False,0.0,0.0,0.0,"$NFLX","['wall', 'street', 'games.', 'see', 'pulling', 'back', 'all.', 'none', 'none...', 'guys....', '$fb', '$aapl', '$amzn', '$nflx', '$msft', '$nvda', '$avgo', 'nothing', 'all.', 'shit....', 'nasdaq', 'end', 'wild', 'day', 'flat', 'big', 'tech', 'reversal,', 'dow', 'drop', '470', 'point', 'worst', 'day', 'since', 'february', 'https://t.co/rl3pu0gjla']",negative
64,66,1.39e+18,2021-05-11,"nasdaq ends wild day flat after big tech reversal, dow drops 470 points for worst day since february!  $msft $aapl $googl $amzn $cmcsa $crm $amd $mu $qcom $nvda $txn $fb $nflx $fis $hd $jnj $pfe $lly $gild $mrk $amgn $cvs $tsla $dis $abt $pypl $csco $intc $orcl $xom $cvx $gs $pg  https://t.co/tlv5d2kdox",en,[],"['msft', 'aapl', 'googl', 'amzn', 'cmcsa', 'crm', 'amd', 'mu', 'qcom', 'nvda', 'txn', 'fb', 'nflx', 'fis', 'hd', 'jnj', 'pfe', 'lly', 'gild', 'mrk', 'amgn', 'cvs', 'tsla', 'dis', 'abt', 'pypl', 'csco', 'intc', 'orcl', 'xom', 'cvx', 'gs', 'pg']",False,1.0,0.0,0.0,"$NFLX","['nasdaq', 'end', 'wild', 'day', 'flat', 'big', 'tech', 'reversal,', 'dow', 'drop', '470', 'point', 'worst', 'day', 'since', 'february!', '$msft', '$aapl', '$googl', '$amzn', '$cmcsa', '$crm', '$amd', '$mu', '$qcom', '$nvda', '$txn', '$fb', '$nflx', '$fis', '$hd', '$jnj', '$pfe', '$lly', '$gild', '$mrk', '$amgn', '$cvs', '$tsla', '$dis', '$abt', '$pypl', '$csco', '$intc', '$orcl', '$xom', '$cvx', '$gs', '$pg', 'https://t.co/tlv5d2kdox']",negative
65,67,1.39e+18,2021-05-11,$kpay - crossed 1.2 cents - just first order thru - many more to go - 430% - do not miss  https://t.co/ulydhhcmas  $tsla $amzn $googl $msft $ibm $nflx $spy $nvda $nio $uavs $htz $kodk $cemi $nvax $vxrt $gme $tsnp $amc $fubo  $nakd $nok $pltr   $hcmc $tsnp  $ozsc $prpm $blsp $hmbl  https://t.co/m3v7kjzd6y,en,[],"['kpay', 'tsla', 'amzn', 'googl', 'msft', 'ibm', 'nflx', 'spy', 'nvda', 'nio', 'uavs', 'htz', 'kodk', 'cemi', 'nvax', 'vxrt', 'gme', 'tsnp', 'amc', 'fubo', 'nakd', 'nok', 'pltr', 'hcmc', 'tsnp', 'ozsc', 'prpm', 'blsp', 'hmbl']",False,1.0,0.0,0.0,"$NFLX","['$kpay', 'crossed', '1.2', 'cent', 'first', 'order', 'thru', 'many', 'go', '430%', 'miss', 'https://t.co/ulydhhcmas', '$tsla', '$amzn', '$googl', '$msft', '$ibm', '$nflx', '$spy', '$nvda', '$nio', '$uavs', '$htz', '$kodk', '$cemi', '$nvax', '$vxrt', '$gme', '$tsnp', '$amc', '$fubo', '$nakd', '$nok', '$pltr', '$hcmc', '$tsnp', '$ozsc', '$prpm', '$blsp', '$hmbl', 'https://t.co/m3v7kjzd6y']",negative
73,75,1.39e+18,2021-05-11,a long-term investment in skillz could pay your bills - my article for @investorplace  https://t.co/ecivmfb4mu $sklz $spy $qqq $dia $djia #stockmarket #investing #finance #stocks $aapl $tsla $amzn $intc $nflx $amd $nio $gme,en,"['stockmarket', 'investing', 'finance', 'stocks']","['sklz', 'spy', 'qqq', 'dia', 'djia', 'aapl', 'tsla', 'amzn', 'intc', 'nflx', 'amd', 'nio', 'gme']",False,1.0,0.0,0.0,"$NFLX","['long-term', 'investment', 'skillz', 'could', 'pay', 'bill', 'article', '@investorplace', 'https://t.co/ecivmfb4mu', '$sklz', '$spy', '$qqq', '$dia', '$djia', '#stockmarket', '#investing', '#finance', '#stocks', '$aapl', '$tsla', '$amzn', '$intc', '$nflx', '$amd', '$nio', '$gme']",uncertainty
88,90,1.39e+18,2021-05-11,day trader alert! #communication sector the most overvalued symbol is $foxa.  the most undervalued is $nflx.  watchlists with clear edge.  https://t.co/faekbszldr  #watchlist $xlc #alpha #trading #daytrading #swingtrading,en,"['communication', 'watchlist', 'alpha', 'trading', 'daytrading', 'swingtrading']","['foxa', 'nflx', 'xlc']",False,0.0,0.0,0.0,"$NFLX","['day', 'trader', 'alert!', '#communication', 'sector', 'overvalued', 'symbol', '$foxa.', 'undervalued', '$nflx.', 'watchlists', 'clear', 'edge.', 'https://t.co/faekbszldr', '#watchlist', '$xlc', '#alpha', '#trading', '#daytrading', '#swingtrading']",negative
100,102,1.39e+18,2021-05-11,i have a lot of reservations about $twtr. those who follow me know. the platform has so much potential. have so many ideas for them. don’t know why they don’t change it up and make it better. take the 10th executive from $nflx and they could change it up in a second. management!  https://t.co/hkl30idwyu,en,[],"['twtr', 'nflx']",False,1.0,1.0,2.0,"$NFLX","['lot', 'reservation', '$twtr.', 'follow', 'know.', 'platform', 'much', 'potential.', 'many', 'idea', 'them.', 'don’t', 'know', 'don’t', 'change', 'make', 'better.', 'take', '10th', 'executive', '$nflx', 'could', 'change', 'second.', 'management!', 'https://t.co/hkl30idwyu']",uncertainty
113,116,1.39e+18,2021-05-11,$googl from 8.2 to 13.5 on the 2290c from open $roku from 4.4 to 5.6 on the 295p flipped bullish after and riding $googl 2300c from 7.6  $ai may 21 55c from 1.55 $amzn $aapl $fb $tsla $nflx $cost $crm $sq $gme $ttd $wynn $gogo $czr $ddog $amd $spy $qqq,en,[],"['googl', 'roku', 'googl', 'ai', 'amzn', 'aapl', 'fb', 'tsla', 'nflx', 'cost', 'crm', 'sq', 'gme', 'ttd', 'wynn', 'gogo', 'czr', 'ddog', 'amd', 'spy', 'qqq']",False,3.0,0.0,0.0,"$NFLX","['$googl', '8.2', '13.5', '2290c', 'open', '$roku', '4.4', '5.6', '295p', 'flipped', 'bullish', 'riding', '$googl', '2300c', '7.6', '$ai', 'may', '21', '55c', '1.55', '$amzn', '$aapl', '$fb', '$tsla', '$nflx', '$cost', '$crm', '$sq', '$gme', '$ttd', '$wynn', '$gogo', '$czr', '$ddog', '$amd', '$spy', '$qqq']",positive
120,123,1.39e+18,2021-05-11,"@cnbc @cnbcpro this #stockmarket #bubble would be called #faang bubble!   per #warrenbuffett intrinsic value formula, based on 2019-2020 annual reports, $fb $aapl $googl $nflx are significantly #overvalued, but $amzn is worst of them all -&gt; #overvalued by 1,299% compare to #intrinsicvalue!!!  https://t.co/l1yqxncsm8",en,"['stockmarket', 'bubble', 'faang', 'warrenbuffett', 'overvalued', 'overvalued', 'intrinsicvalue']","['fb', 'aapl', 'googl', 'nflx', 'amzn']",False,0.0,0.0,0.0,"$NFLX","['@cnbc', '@cnbcpro', '#stockmarket', '#bubble', 'would', 'called', '#faang', 'bubble!', 'per', '#warrenbuffett', 'intrinsic', 'value', 'formula,', 'based', '2019-2020', 'annual', 'reports,', '$fb', '$aapl', '$googl', '$nflx', 'significantly', '#overvalued,', '$amzn', 'worst', '-&gt;', '#overvalued', '1,299%', 'compare', '#intrinsicvalue!!!', 'https://t.co/l1yqxncsm8']",negative
122,125,1.39e+18,2021-05-11,"he used the pandemic, which has killed ~579k americans, to distract from his sex issues? $ads $aapl $amzn $abbv $agn $bhc $brk $ba $crm $cmg $prgo $iep $hlf $ibm $ko $pep $tst $ms $gs $jpm $bac $btc $c $cs $pfe $tsla $gsk $lly $bmy $twtr $eye $snap $googl $nflx $fb $sq $msft $btc  https://t.co/dc3uemlkp0",en,[],"['ads', 'aapl', 'amzn', 'abbv', 'agn', 'bhc', 'brk', 'ba', 'crm', 'cmg', 'prgo', 'iep', 'hlf', 'ibm', 'ko', 'pep', 'tst', 'ms', 'gs', 'jpm', 'bac', 'btc', 'c', 'cs', 'pfe', 'tsla', 'gsk', 'lly', 'bmy', 'twtr', 'eye', 'snap', 'googl', 'nflx', 'fb', 'sq', 'msft', 'btc']",False,0.0,0.0,0.0,"$NFLX","['used', 'pandemic,', 'killed', '~579k', 'americans,', 'distract', 'sex', 'issues?', '$ads', '$aapl', '$amzn', '$abbv', '$agn', '$bhc', '$brk', '$ba', '$crm', '$cmg', '$prgo', '$iep', '$hlf', '$ibm', '$ko', '$pep', '$tst', '$ms', '$gs', '$jpm', '$bac', '$btc', '$c', '$cs', '$pfe', '$tsla', '$gsk', '$lly', '$bmy', '$twtr', '$eye', '$snap', '$googl', '$nflx', '$fb', '$sq', '$msft', '$btc', 'https://t.co/dc3uemlkp0']",negative
123,126,1.39e+18,2021-05-11,"fang stocks update: serious cracks starting to form, for some $fb $aapl $amzn $nflx $googl    https://t.co/wdg3wpmmai",en,[],"['fb', 'aapl', 'amzn', 'nflx', 'googl']",False,0.0,0.0,0.0,"$NFLX","['fang', 'stock', 'update:', 'serious', 'crack', 'starting', 'form,', '$fb', '$aapl', '$amzn', '$nflx', '$googl', 'https://t.co/wdg3wpmmai']",negative
126,129,1.39e+18,2021-05-11,and the truth shall set you free with divorce $ads $aapl $amzn $abbv $agn $bhc $brk $ba $crm $cmg $prgo $iep $hlf $ibm $ko $pep $tst $ms $gs $jpm $bac $btc $c $cs $pfe $tsla $gsk $lly $bmy $twtr $eye $snap $googl $nflx $fb $sq $msft $btc,en,[],"['ads', 'aapl', 'amzn', 'abbv', 'agn', 'bhc', 'brk', 'ba', 'crm', 'cmg', 'prgo', 'iep', 'hlf', 'ibm', 'ko', 'pep', 'tst', 'ms', 'gs', 'jpm', 'bac', 'btc', 'c', 'cs', 'pfe', 'tsla', 'gsk', 'lly', 'bmy', 'twtr', 'eye', 'snap', 'googl', 'nflx', 'fb', 'sq', 'msft', 'btc']",False,0.0,0.0,0.0,"$NFLX","['truth', 'shall', 'set', 'free', 'divorce', '$ads', '$aapl', '$amzn', '$abbv', '$agn', '$bhc', '$brk', '$ba', '$crm', '$cmg', '$prgo', '$iep', '$hlf', '$ibm', '$ko', '$pep', '$tst', '$ms', '$gs', '$jpm', '$bac', '$btc', '$c', '$cs', '$pfe', '$tsla', '$gsk', '$lly', '$bmy', '$twtr', '$eye', '$snap', '$googl', '$nflx', '$fb', '$sq', '$msft', '$btc']",negative
128,131,1.39e+18,2021-05-11,when the world was being told  he predicted the pandemic i knew he was gonna be exposed  $ads $aapl $amzn $abbv $agn $bhc $brk $ba $crm $cmg $prgo $iep $hlf $ibm $ko $pep $tst $ms $gs $jpm $bac $btc $c $cs $pfe $tsla $gsk $lly $bmy $twtr $eye $snap $googl $nflx $fb $sq $msft $btc,en,[],"['ads', 'aapl', 'amzn', 'abbv', 'agn', 'bhc', 'brk', 'ba', 'crm', 'cmg', 'prgo', 'iep', 'hlf', 'ibm', 'ko', 'pep', 'tst', 'ms', 'gs', 'jpm', 'bac', 'btc', 'c', 'cs', 'pfe', 'tsla', 'gsk', 'lly', 'bmy', 'twtr', 'eye', 'snap', 'googl', 'nflx', 'fb', 'sq', 'msft', 'btc']",False,0.0,0.0,0.0,"$NFLX","['world', 'told', 'predicted', 'pandemic', 'knew', 'gonna', 'exposed', '$ads', '$aapl', '$amzn', '$abbv', '$agn', '$bhc', '$brk', '$ba', '$crm', '$cmg', '$prgo', '$iep', '$hlf', '$ibm', '$ko', '$pep', '$tst', '$ms', '$gs', '$jpm', '$bac', '$btc', '$c', '$cs', '$pfe', '$tsla', '$gsk', '$lly', '$bmy', '$twtr', '$eye', '$snap', '$googl', '$nflx', '$fb', '$sq', '$msft', '$btc']",negative
131,134,1.39e+18,2021-05-11,software genius turned world's pandemic guru divorced due to a life of sexual misconduct $ads $aapl $amzn $abbv $agn $bhc $brk $ba $crm $cmg $prgo $iep $hlf $ibm $ko $pep $tst $ms $gs $jpm $bac $btc $c $cs $pfe $tsla $gsk $lly $bmy $twtr $eye $snap $googl $nflx $fb $sq $msft $btc,en,[],"['ads', 'aapl', 'amzn', 'abbv', 'agn', 'bhc', 'brk', 'ba', 'crm', 'cmg', 'prgo', 'iep', 'hlf', 'ibm', 'ko', 'pep', 'tst', 'ms', 'gs', 'jpm', 'bac', 'btc', 'c', 'cs', 'pfe', 'tsla', 'gsk', 'lly', 'bmy', 'twtr', 'eye', 'snap', 'googl', 'nflx', 'fb', 'sq', 'msft', 'btc']",False,0.0,0.0,0.0,"$NFLX","['software', 'genius', 'turned', ""world's"", 'pandemic', 'guru', 'divorced', 'due', 'life', 'sexual', 'misconduct', '$ads', '$aapl', '$amzn', '$abbv', '$agn', '$bhc', '$brk', '$ba', '$crm', '$cmg', '$prgo', '$iep', '$hlf', '$ibm', '$ko', '$pep', '$tst', '$ms', '$gs', '$jpm', '$bac', '$btc', '$c', '$cs', '$pfe', '$tsla', '$gsk', '$lly', '$bmy', '$twtr', '$eye', '$snap', '$googl', '$nflx', '$fb', '$sq', '$msft', '$btc']",negative
142,146,1.39e+18,2021-05-11,should i be concerned about $dis earnings after $nflx underwhelming report?,en,[],"['dis', 'nflx']",False,29.0,17.0,0.0,"$NFLX","['concerned', '$dis', 'earnings', '$nflx', 'underwhelming', 'report?']",negative
153,158,1.39e+18,2021-05-11,cautious bounce on core holdings: $nflx $sq $nio $bntx 🇺🇸,en,[],"['nflx', 'sq', 'nio', 'bntx']",False,0.0,0.0,0.0,"$NFLX","['cautious', 'bounce', 'core', 'holdings:', '$nflx', '$sq', '$nio', '$bntx', '🇺🇸']",uncertainty
170,175,1.39e+18,2021-05-11,swing update: closed all long positions except $gdx.  big loss on $tsla &amp; decent losses on $pdd &amp; $nflx.  small losses on the rest.  #spx #swingtrading #alerts  https://t.co/xhiaq8wkjs,en,"['spx', 'swingtrading', 'alerts']","['gdx', 'tsla', 'pdd', 'nflx']",False,2.0,1.0,0.0,"$NFLX","['swing', 'update:', 'closed', 'long', 'position', 'except', '$gdx.', 'big', 'loss', '$tsla', '&amp;', 'decent', 'loss', '$pdd', '&amp;', '$nflx.', 'small', 'loss', 'rest.', '#spx', '#swingtrading', '#alerts', 'https://t.co/xhiaq8wkjs']",negative
186,191,1.39e+18,2021-05-11,"👉 https://t.co/iunxli3ku3  ⭐️pacific ventures group's $pacv  🔥🔥  ⭐️we are very pleased with our march results, which are nearing our highest monthly revenue record of $3.0 million achieved in may 2020.   https://t.co/2ql6udkeoi  @jctb1   $ba $pypl $plnt $amd $tsla $nflx $crwd $m  https://t.co/wazsztjulu",en,[],"['pacv', 'ba', 'pypl', 'plnt', 'amd', 'tsla', 'nflx', 'crwd', 'm']",False,0.0,0.0,0.0,"$NFLX","['👉', 'https://t.co/iunxli3ku3', '⭐️pacific', 'venture', ""group's"", '$pacv', '🔥🔥', '⭐️we', 'pleased', 'march', 'results,', 'nearing', 'highest', 'monthly', 'revenue', 'record', '$3.0', 'million', 'achieved', 'may', '2020.', 'https://t.co/2ql6udkeoi', '@jctb1', '$ba', '$pypl', '$plnt', '$amd', '$tsla', '$nflx', '$crwd', '$m', 'https://t.co/wazsztjulu']",positive
189,194,1.39e+18,2021-05-11,maybe people will start to like $nflx again once they realize: 1) the 2q guide threw out the kitchen sink 2) $nflx is accelerating content delivery through 2h and 3) $nflx is still positioned to be 1 of a select few winners in a secular growth svod market which will consolidate,en,[],"['nflx', 'nflx', 'nflx']",False,8.0,1.0,0.0,"$NFLX","['maybe', 'people', 'start', 'like', '$nflx', 'realize:', '1)', '2q', 'guide', 'threw', 'kitchen', 'sink', '2)', '$nflx', 'accelerating', 'content', 'delivery', '2h', '3)', '$nflx', 'still', 'positioned', '1', 'select', 'winner', 'secular', 'growth', 'svod', 'market', 'consolidate']",positive
206,211,1.39e+18,2021-05-11,$aapl #aapl in 2 days nearly a 4% drop combined.. needs back over 126 otherwise can retest 123 and head towards 121-119 next..   - $amd $amzn $tsla $baba $ba $fubo $ghvi $tlry $spce $ipoe $nflx $nvda $roku  https://t.co/bxczoq48ay,en,['aapl'],"['aapl', 'amd', 'amzn', 'tsla', 'baba', 'ba', 'fubo', 'ghvi', 'tlry', 'spce', 'ipoe', 'nflx', 'nvda', 'roku']",False,2.0,0.0,0.0,"$NFLX","['$aapl', '#aapl', '2', 'day', 'nearly', '4%', 'drop', 'combined..', 'need', 'back', '126', 'otherwise', 'retest', '123', 'head', 'towards', '121-119', 'next..', '$amd', '$amzn', '$tsla', '$baba', '$ba', '$fubo', '$ghvi', '$tlry', '$spce', '$ipoe', '$nflx', '$nvda', '$roku', 'https://t.co/bxczoq48ay']",uncertainty
208,213,1.39e+18,2021-05-11,stanley druckenmiller says the fed is endangering the dollar’s global reserve status  $snap $pins $twtr $fb $aapl $msft $amzn $nflx $googl $gbtc $ethe $gld $gdx $slv $xlf $dia $ndx $qqq $spy $smh  $nvda $amd $intc $mu $arkk $arkf $gme $amc $xle $xom $x $fcx  https://t.co/hiqhxyxvdg,en,[],"['snap', 'pins', 'twtr', 'fb', 'aapl', 'msft', 'amzn', 'nflx', 'googl', 'gbtc', 'ethe', 'gld', 'gdx', 'slv', 'xlf', 'dia', 'ndx', 'qqq', 'spy', 'smh', 'nvda', 'amd', 'intc', 'mu', 'arkk', 'arkf', 'gme', 'amc', 'xle', 'xom', 'x', 'fcx']",False,2.0,0.0,0.0,"$NFLX","['stanley', 'druckenmiller', 'say', 'fed', 'endangering', 'dollar’s', 'global', 'reserve', 'status', '$snap', '$pins', '$twtr', '$fb', '$aapl', '$msft', '$amzn', '$nflx', '$googl', '$gbtc', '$ethe', '$gld', '$gdx', '$slv', '$xlf', '$dia', '$ndx', '$qqq', '$spy', '$smh', '$nvda', '$amd', '$intc', '$mu', '$arkk', '$arkf', '$gme', '$amc', '$xle', '$xom', '$x', '$fcx', 'https://t.co/hiqhxyxvdg']",negative
213,218,1.39e+18,2021-05-11,"looks like tech has bounced off the lows now. $amzn $nflx $tdoc now green  if it was a buying opportunity, you may have missed the best of it",en,[],"['amzn', 'nflx', 'tdoc']",False,1.0,1.0,0.0,"$NFLX","['look', 'like', 'tech', 'bounced', 'low', 'now.', '$amzn', '$nflx', '$tdoc', 'green', 'buying', 'opportunity,', 'may', 'missed', 'best']",positive
215,221,1.39e+18,2021-05-11,stocks just suffered the worst bout of concentrated selling pressure in history. (source: bloomberg data) $ba $appl $apps $amd $amzn $arkk $baba $coin $dia $spy $dkng $etsy $fb $nflx $goog $gs $jpm $mara $msft $nvda $penn $qqq  $riot $tsla  https://t.co/f0wwd8hfyd,en,[],"['ba', 'appl', 'apps', 'amd', 'amzn', 'arkk', 'baba', 'coin', 'dia', 'spy', 'dkng', 'etsy', 'fb', 'nflx', 'goog', 'gs', 'jpm', 'mara', 'msft', 'nvda', 'penn', 'qqq', 'riot', 'tsla']",False,3.0,3.0,1.0,"$NFLX","['stock', 'suffered', 'worst', 'bout', 'concentrated', 'selling', 'pressure', 'history.', '(source:', 'bloomberg', 'data)', '$ba', '$appl', '$apps', '$amd', '$amzn', '$arkk', '$baba', '$coin', '$dia', '$spy', '$dkng', '$etsy', '$fb', '$nflx', '$goog', '$gs', '$jpm', '$mara', '$msft', '$nvda', '$penn', '$qqq', '$riot', '$tsla', 'https://t.co/f0wwd8hfyd']",negative
